videoId,title,publishedAt,viewCount,likeCount,commentCount,duration,channelId,channelName,url
kQMX2wYuNJ4,Sie erklärt dem Kanzler mal kurz seinen Job,2026-02-01T14:01:11Z,42690,4175,726,PT5M18S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=kQMX2wYuNJ4
bWpv4RLswjw,Sie plündern den Staat!  Ines Schwerdtner Bekämpft Das KORRPUTE SYSTEM!,2026-02-01T13:19:07Z,66907,4601,234,PT54S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=bWpv4RLswjw
wtXSwHYszIs,Agnes Conrad KNÖPFT Sich Weidel VOR! Rechtsextreme Verachtung von Arbeitern AUFGEDECKT!,2026-01-31T17:01:33Z,6292,792,237,PT3M5S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=wtXSwHYszIs
bXBVCWmIuZw,Kompletter TOTALAUSFALL! Janine Wissler FERTIGT Inkompetente Lobbyministerin AB!,2026-01-30T17:00:58Z,47388,3969,606,PT4M12S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=bXBVCWmIuZw
iBF2U14nun4,Arbeiter Sollen RAUSGEWORFEN WERDEN! Linker Luigi Pantisano Will Sie RETTEN!,2026-01-30T14:00:18Z,5505,627,121,PT5M52S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=iBF2U14nun4
BxODfRzHYOA,Gregor Gysi vs. Philipp Amthor,2026-01-30T13:54:14Z,538063,9338,468,PT54S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=BxODfRzHYOA
0fjHFRoM8XQ,Lieferando-Fahrer im Bundestag,2026-01-29T18:30:03Z,6048,683,98,PT3M20S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=0fjHFRoM8XQ
H_BZCFdZZj8,Wie konnten sie das 80 Jahre lang ignorieren?,2026-01-29T17:00:28Z,1872,311,31,PT2M48S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=H_BZCFdZZj8
2alKrspYRZU,Wie können sie das ignorieren?!,2026-01-29T16:50:08Z,13443,1137,83,PT1M16S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=2alKrspYRZU
gHMpCIn5yGA,Merz BESCHIMPFT Bürger! Ines Schwerdtner PLATZT Der KRAGEN!,2026-01-29T14:01:11Z,163201,12121,2049,PT5M,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=gHMpCIn5yGA
Fdy09eOsPrM,🕯️ Die VERGESSENEN Opfer des Nationalsozialismus! Maik Brückner deckt auf,2026-01-29T12:04:21Z,4679,475,39,PT43S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=Fdy09eOsPrM
4cwL9bVLkiU,Trump In Grönland STOPPEN 🍊🫷 Pellmann Lässt Sich Nicht TÄUSCHEN!,2026-01-29T10:33:05Z,12447,781,45,PT31S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=4cwL9bVLkiU
pZOrTaRqlvc,Ines Schwerdtner schickt Friedrich Merz in Teilzeit,2026-01-28T19:30:44Z,74133,5164,306,PT1M16S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=pZOrTaRqlvc
GcqyFdJ6lmg,"Rede, Schwester🗣️🗣️🗣️",2026-01-28T18:31:43Z,25192,2907,366,PT2M53S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=GcqyFdJ6lmg
9xrAPkpyc8A,Terrorist = Partner! Linke ENTLARVT Grotesque Doppelmoral vom Deutschen Außenminister!,2026-01-28T17:44:59Z,4518,378,48,PT1M9S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=9xrAPkpyc8A
pF5rs0z_suc,Abgeordneter mit Intelligenz redet im Bundestag,2026-01-28T14:01:18Z,6667,762,114,PT3M10S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=pF5rs0z_suc
uBbdADQUWdI,Merz BLAMIERT SICH Erneut! Heidi Reichinnek Mit KLARER ANSAGE!,2026-01-28T01:52:27Z,16088,1614,346,PT22M24S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=uBbdADQUWdI
qvAK0HPi0Ic,"Koalition will Sozialstaat ""reformieren"" 🤡",2026-01-27T17:58:39Z,12788,2345,174,PT1M39S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=qvAK0HPi0Ic
15TvEUDx9iQ,Nächster ANGRIFF auf ARBEITER? Heidi Reichinnek zum Teilzeit-Vorstoß der CDU,2026-01-26T15:40:15Z,208993,6237,1026,PT54S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=15TvEUDx9iQ
uVFwF1gxsuk,SO Funktioniert Das Trump-IMPERIUM! ,2026-01-23T18:25:38Z,1934,385,74,PT3M21S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=uVFwF1gxsuk
paV0eiJMtv8,Linke Janine Wissler RASIERT Friedrich Merz! Wirtschaftsnachhilfe für den Kanzler!,2026-01-23T17:36:21Z,20450,2099,200,PT1M33S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=paV0eiJMtv8
Y815JYKcTRA,AfD TOBT! Linker Ferat Kocak Mit UNGESCHÖNTER WAHRHEIT!,2026-01-22T18:00:44Z,4913,689,136,PT2M17S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=Y815JYKcTRA
tT5BolbyRqI,"Kluge Fragen, dumme Antworten im Bundestag",2026-01-22T14:01:21Z,2132,301,78,PT7M10S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=tT5BolbyRqI
3oPlCWfem6E,DEPRESSION = SANKTION? Merz Lässt Psychisch Kranke IM STICH! 😖,2026-01-21T15:55:23Z,30863,3921,388,PT1M19S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=3oPlCWfem6E
RsM1JSgljP4,🤬 MERZ will euch AUSBEUTEN! Cem Ince zum Angriff auf das Arbeitszeitgesetz,2026-01-20T15:16:23Z,12347,1112,96,PT33S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=RsM1JSgljP4
UXw-jo0hD4E,Aus Deutschland Ins VERDERBEN! Täglich Ein Neues Tief Der SCHEINHEILIGKEIT!,2026-01-19T16:00:45Z,8134,1151,71,PT1M5S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=UXw-jo0hD4E
nfb3kRs4Mek,"🔴 Tricksen, Abzocken, Erpressen - VÖLLIG LEGAL 🤑💸 Das Sollen Mieter NICHT WISSEN!",2026-01-19T12:49:55Z,10911,1431,97,PT1M4S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=nfb3kRs4Mek
kLkYfTat9ww,REVOLUTION Im Iran? Aktivisten PACKEN AUS!,2026-01-19T08:27:58Z,1874,302,30,PT1M38S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=kLkYfTat9ww
_nsAICrzoT8,Kein Land FÜR BÜRGER! Linker Marcel Bauer DECKT Den Wahnsinn AUF!,2026-01-18T17:01:04Z,3248,468,87,PT3M6S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=_nsAICrzoT8
q3XS3P-0D7U,Merz Ist TEIL DES PROBLEMS! Linke Desiree Becker REISST Die Maske RUNTER!,2026-01-16T17:01:33Z,2876,440,100,PT5M12S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=q3XS3P-0D7U
f05HEkJ-qLA,Deutschland Moralisch AM ENDE! Linke Cansu Özdemir ENTLARVT Bodenlose HEUCHELEI! #iran,2026-01-16T14:01:11Z,5962,553,128,PT3M17S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=f05HEkJ-qLA
